model_id,model_make_id,model_name,model_trim,model_year,model_body_style,model_engine_position,model_engine_cc,model_engine_num_cyl,model_engine_type,mode_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display
13553,ford,Corsair,,1991,,Front,1974,4,in-line,,113,5200,168,4000,86,86,,Gasoline,,,Front,Manual,5,,1130,4530,1700,1380,2560,,,,,1,,Ford
13554,ford,Vedette,,1956,,Front,2158,8,V,2,67,4400,122,2500,,,,Gasoline,,,Rear,Manual,5,,1125,4680,1730,1530,2700,,,,,1,,Ford
13555,ford,Escort,Station Wagon,1993,Station Wagon,Front,1859,4,in-line,,88,4400,146,3800,,,,Gasoline,,,Front,,5,,1095,4360,1700,1370,2510,,,,,1,,Ford
13556,ford,Laser,,2003,,Front,1598,4,in-line,4,106,5500,145,4000,79,81.3,,Gasoline,,,Front,Manual,5,,1115,4260,1710,1420,2620,,,,,0,,Ford
13557,ford,Granada,2.3 Diesel,1982,,Front,2497,4,in-line,,70,4200,148,2000,94,90,23.0:1,Diesel,145,,Rear,Manual,5,4,1370,4890,1810,1430,2780,,,,65,1,,Ford
13558,ford,Escape,Hybrid Limited,2009,SUV,Front,2488,4,in-line,4,155,6000,184,4500,,,,Gasoline / Electric Hybrid,,,Front,,5,5,966,4440,1810,1730,2630,7.6,7.4,6.9,57,1,,Ford
13559,ford,Cortina,2.3,1976,,Front,2294,6,in-line,,108,5000,177,3000,90,60.1,,Gasoline,,,Rear,Manual,5,4,1090,4390,1710,1370,2590,,,,54,1,,Ford
13560,ford,Focus,ZX3 S,2006,,Front,1982,4,in-line,4,138,6000,180,4500,85,88,9.6:1,,,,Front,,5,3,1220,4290,1700,1450,2620,6.9,8.1,9.1,53,1,,Ford
13561,ford,Cortina,2000 GT,1970,,Front,1993,4,in-line,,96,5500,151,3500,90.8,77,9.2:1,Gasoline,169,,Rear,,5,2,1000,4270,1710,1330,2590,,,,87,1,,Ford
13562,ford,Fiesta,1.4 TDCi,2005,Hatchback,Front,1399,4,in-line,2,68,4000,162,2000,,,18.0:1,Diesel,158,14.9,Front,Manual,5,3,1145,3920,1690,1440,2490,,4.3,,45,0,,Ford
